97.61322178,57.50620419,218.167179,63.43475164,,,,,,,,,,,,
354.5962086,146.5162264,58.28018462,61.4341632,,,,,98,58,218,63,58,344,12,151
336.614779,273.5790244,294.4439548,147.0114784,,,,,355,147,58,61,184,48,292,111
284.280234,256.454884,105.6583453,310.3122282,,,,,337,274,294,147,330,89,129,309
265.1955556,95.24646563,88.53068691,64.11912252,,,,,284,256,106,310,106,287,203,46
311.9230465,97.23341625,56.07341873,71.72133804,,,,,265,95,89,64,156,63,222,62
177.812927,59.02833871,97.66680427,105.1412457,,,,,312,97,56,72,113,255,77,91
167.8553306,66.39289042,75.29169605,308.0984399,,,,,178,59,98,105,87,84,82,281
41.61278738,327.4341934,83.26707873,80.75117735,,,,,168,66,75,308,124,223,187,66
93.47535282,92.24738267,304.6951535,107.2203793,,,,,42,327,83,81,124,117,119,121
101.3099325,90.87334362,113.4841152,286.2943154,,,,,93,92,305,107,115,48,106,150
100.0420235,37.94215332,51.12693299,144.435232,,,,,101,91,113,286,105,54,116,215
78.39523771,102.4528138,49.02826363,127.6938405,,,,,100,38,51,144,100,110,293,171
335.7141748,96.06845161,141.6992832,42.67622028,,,,,78,102,49,128,248,56,94,67
307.8749837,72.6553237,343.3690463,281.8232534,,,,,336,96,142,43,52,92,119,104
104.2314583,50.59155778,157.8929196,92.83211126,,,,,308,73,343,282,56,285,59,126
101.5138312,90.79023647,102.7185573,78.7742022,,,,,104,51,158,93,262,304,116,105
62.25265217,325.5720731,127.5066718,24.12098312,,,,,102,91,103,79,287,70,117,89
296.2778567,44.58179,286.8234639,54.82772404,,,,,62,326,128,24,92,64,288,83
58.49573321,107.184148,305.7755972,49.39870536,,,,,296,45,287,55,48,61,295,71
142.4651909,74.60192009,248.503906,51.13222254,,,,,58,107,306,49,67,91,314,
268.842667,86.04378758,62.40149708,81.18168245,,,,,142,75,249,51,71,315,307,
61.00404034,294.6728674,61.21013336,70.91888562,,,,,269,86,62,81,108,40,308,
117.4509978,104.7803027,58.56247993,196.1443388,,,,,61,295,61,71,109,99,117,
67.44686147,103.6777762,126.1714001,105.042456,,,,,117,105,59,196,288,298,82,
287.7838884,298.1132089,82.18446553,215.4498244,,,,,,,,,,,,
89.20427651,83.19094973,71.46104808,171.4626624,,,,,,,,,,,,
57.52880773,343.5399852,11.73681722,150.5596653,,,,,,,,,,,,
183.5035317,48.22452273,291.7727668,111.3417036,,,,,,,,,,,,
329.9776015,89.34263296,129.22929,309.4970541,,,,,,,,,,,,
106.3396962,287.085298,203.1569208,45.83422977,,,,,,,,,,,,
156.4676515,63.04782107,221.8711901,62.28062473,,,,,,,,,,,,
112.8597333,254.7034527,76.96586799,91.08257038,,,,,,,,,,,,
87.18444339,83.98201069,82.47617955,280.7548778,,,,,,,,,,,,
123.759057,222.781906,186.654425,65.55604529,,,,,,,,,,,,
123.6900675,116.5650511,119.1305595,120.7775304,,,,,,,,,,,,
114.8913001,47.81555673,106.4728916,149.6644615,,,,,,,,,,,,
104.9516773,53.53135387,115.889998,,,,,,,,,,,,,
99.50677205,109.8849965,293.0750256,,,,,,,,,,,,,
248.3476685,55.50639777,93.66778811,,,,,,,,,,,,,
52.18426741,92.0213649,118.5399852,,,,,,,,,,,,,
56.44849434,284.5427745,58.52316065,,,,,,,,,,,,,
261.9727625,304.2755514,116.4657519,,,,,,,,,,,,,
286.5070442,70.36321804,116.8372381,,,,,,,,,,,,,
92.24347812,64.17900806,287.8257317,,,,,,,,,,,,,
47.67979331,60.55457123,295.0485212,,,,,,,,,,,,,
66.93383311,91.29355584,314.3513962,,,,,,,,,,,,,
70.55111963,315.4547187,307.3814536,,,,,,,,,,,,,
107.978223,40.32986965,307.6352538,,,,,,,,,,,,,
108.5048063,99.21913267,116.5650511,,,,,,,,,,,,,
